Gene stable ID,Gene name,UniProtKB/Swiss-Prot ID
ENSG00000261657,SLC25A26,
ENSG00000261530,BTC,
ENSG00000261530,BTC,P35070
ENSG00000260334,GAST,P01350
ENSG00000261125,HAP1,
ENSG00000261125,HAP1,P54257
ENSG00000261577,JUP,P14923
ENSG00000261577,JUP,
ENSG00000261163,LEPREL4,
ENSG00000261258,FKBP10,
ENSG00000261258,FKBP10,Q96AY3
ENSG00000188403,IGHV1OR15-9,
ENSG00000259490,IGHV3OR15-7,
ENSG00000270961,IGHD5OR15-5A,
ENSG00000271317,IGHD4OR15-4A,
ENSG00000270783,IGHD3OR15-3A,
ENSG00000271197,IGHD2OR15-2A,
ENSG00000271336,IGHD1OR15-1A,
ENSG00000260753,NT5C3B,
ENSG00000215405,GOLGA6L6,A8MZA4
ENSG00000260753,NT5C3B,Q969T7
ENSG00000268343,AC012414.1,
ENSG00000169861,IGHV1OR21-1,
ENSG00000169861,IGHV1OR21-1,A6NJS3
ENSG00000261631,KLHL10,
ENSG00000261631,KLHL10,Q6JEL2
ENSG00000230031,POTEB2,
ENSG00000230031,POTEB2,H3BUK9
ENSG00000259896,KLHL11,Q9NVR0
ENSG00000270824,IGHD5OR15-5B,
ENSG00000270451,IGHD4OR15-4B,
ENSG00000271255,IGHD3OR15-3B,
ENSG00000271305,IGHD2OR15-2B,
ENSG00000138593,SECISBP2L,
ENSG00000270185,IGHD1OR15-1B,
ENSG00000268531,DKFZP547L112,
ENSG00000233917,POTEB,
ENSG00000138593,SECISBP2L,Q93073
ENSG00000260245,ACLY,P53396
ENSG00000166157,TPTE,P56180
ENSG00000260703,TTC25,
ENSG00000166157,TPTE,
ENSG00000260703,TTC25,Q96NG3
ENSG00000256715,AL050302.1,
ENSG00000166351,POTED,Q86YR6
ENSG00000269011,AL050303.1,
ENSG00000260283,CNP,P09543
ENSG00000260283,CNP,
ENSG00000168675,LDLRAD4,
ENSG00000168675,LDLRAD4,O15165
ENSG00000262684,DNAJC7,Q99615
ENSG00000188992,LIPI,Q6XZB0
ENSG00000188992,LIPI,
ENSG00000182974,OR4M2,Q8NGB6
ENSG00000260770,NKIRAS2,Q9NYR9
ENSG00000260770,NKIRAS2,
ENSG00000183706,OR4N4,Q8N0Y3
ENSG00000185272,RBM11,P57052
ENSG00000270505,IGHV1OR15-1,
ENSG00000269182,AC010760.1,
ENSG00000259261,IGHV4OR15-8,A6NJ16
ENSG00000260320,ZNF385C,
ENSG00000155304,HSPA13,P48723
ENSG00000155304,HSPA13,
ENSG00000197414,GOLGA6L1,
ENSG00000260178,DHX58,Q96C10
ENSG00000260178,DHX58,
