"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","group"
"query_1","TRUE","0.0398582259504331","3","5","1","0.2","0.333333333333333","CORUM:6196","CORUM","Stargazin-Glu1-mu2 complex","3383","1967","CORUM:0000000","1"
"query_1","TRUE","0.0398582259504331","3","5","1","0.2","0.333333333333333","CORUM:6198","CORUM","Stargazin-Glu2A-mu2 complex","3383","1969","CORUM:0000000","1"
"query_1","TRUE","0.00776599499170237","1547","17","8","0.470588235294118","0.00517129928894635","GO:0016192","GO:BP","vesicle-mediated transport","21031","5229","c(""GO:0006810"", ""GO:0009987"")","1"
"query_1","TRUE","0.0473582567102756","1424","17","7","0.411764705882353","0.00491573033707865","GO:0015031","GO:BP","protein transport","21031","4854","c(""GO:0045184"", ""GO:0071702"", ""GO:0071705"")","1"
"query_1","TRUE","0.00274409792166539","63","17","3","0.176470588235294","0.0476190476190476","GO:0030120","GO:CC","vesicle coat","22097","896","c(""GO:0030117"", ""GO:0030662"")","1"
"query_1","TRUE","0.0057368461840586","11","17","2","0.117647058823529","0.181818181818182","GO:0030122","GO:CC","AP-2 adaptor complex","22097","898","c(""GO:0030128"", ""GO:0030131"", ""GO:0030132"", ""GO:0098797"")","1"
"query_1","TRUE","0.0057368461840586","11","17","2","0.117647058823529","0.181818181818182","GO:0030128","GO:CC","clathrin coat of endocytic vesicle","22097","904","c(""GO:0030125"", ""GO:0030669"")","1"
"query_1","TRUE","0.0106545741204133","99","17","3","0.176470588235294","0.0303030303030303","GO:0048475","GO:CC","coated membrane","22097","2232","GO:0016020","1"
"query_1","TRUE","0.0106545741204133","99","17","3","0.176470588235294","0.0303030303030303","GO:0030117","GO:CC","membrane coat","22097","893","c(""GO:0005737"", ""GO:0048475"", ""GO:0098796"")","1"
"query_1","TRUE","0.0177719161389926","19","17","2","0.117647058823529","0.105263157894737","GO:0030132","GO:CC","clathrin coat of coated pit","22097","908","c(""GO:0005905"", ""GO:0030118"", ""GO:0098797"")","1"
"query_1","TRUE","0.0197376398220901","20","17","2","0.117647058823529","0.1","GO:0036020","GO:CC","endolysosome membrane","22097","1667","c(""GO:0005765"", ""GO:0010008"", ""GO:0036019"")","1"
"query_1","TRUE","0.0224968115857138","346","17","4","0.235294117647059","0.0115606936416185","GO:0030139","GO:CC","endocytic vesicle","22097","914","GO:0031410","1"
"query_1","TRUE","0.0234562072734713","3770","17","10","0.588235294117647","0.0026525198938992","GO:0031090","GO:CC","organelle membrane","22097","1045","c(""GO:0016020"", ""GO:0043227"")","1"
"query_1","TRUE","0.0363473855323941","27","17","2","0.117647058823529","0.0740740740740741","GO:0030131","GO:CC","clathrin adaptor complex","22097","907","c(""GO:0030118"", ""GO:0030119"")","1"
"query_1","TRUE","0.0420048191054063","29","17","2","0.117647058823529","0.0689655172413793","GO:0036019","GO:CC","endolysosome","22097","1666","c(""GO:0005764"", ""GO:0005768"")","1"
"query_1","TRUE","0.0117241878512595","18","17","2","0.117647058823529","0.111111111111111","GO:0035615","GO:MF","clathrin adaptor activity","20212","5350","GO:0140312","1"
"query_1","TRUE","0.0130970229771162","19","17","2","0.117647058823529","0.105263157894737","GO:0140312","GO:MF","cargo adaptor activity","20212","10445","GO:0030674","1"
"query_1","TRUE","0.0311821875923898","391","17","4","0.235294117647059","0.010230179028133","GO:0005525","GO:MF","GTP binding","20212","1501","c(""GO:0032561"", ""GO:0035639"")","1"
