Interpro ID,group,proteins,p_value,odds_ratio,domain_in_group,total_domain,protein_in_group,total_protein,domain
IPR009072,155,HIST1H2AJ;HIST1H2BM;HIST1H4A;HIST2H3A,1.868314086562271e-07,208.38095238095238,4,6,25,2215,Histone-fold
IPR007125,155,HIST1H2AJ;HIST1H2BM;HIST2H3A,1.2526894511768427e-05,149.1818181818182,3,5,25,2215,Histone H2A/H2B/H3
IPR002113,98,SLC25A6;SLC25A4;SLC25A5,3.859626166459065e-05,98.95454545454545,3,5,36,2215,"ADP/ATP carrier protein, eukaryotic type"
IPR021662,138,HNRNPA2B1;HNRNPA1,4.893954131414903e-05,inf,2,2,16,2215,"Heterogeneous nuclear ribonucleoprotein A1/A2, C-terminal"
IPR001609,204,MYH9;MYO1C,5.546481348936891e-05,inf,2,17,2,2215,"Myosin head, motor domain"
IPR001609,202,MYO1B;MYH9;MYO1C,0.0006053433866157698,23.335714285714285,3,17,23,2215,"Myosin head, motor domain"
IPR001609,157,MYH9;MYO1C,0.0054912705760798925,22.41025641025641,2,17,15,2215,"Myosin head, motor domain"
IPR000048,204,MYH9;MYO1C,6.239791517554001e-05,inf,2,18,2,2215,"IQ motif, EF-hand binding site"
IPR000048,202,MYO1B;MYH9;MYO1C,0.0007214931799710373,21.77,3,18,23,2215,"IQ motif, EF-hand binding site"
IPR000048,157,MYH9;MYO1C,0.006153543999204386,21.0,2,18,15,2215,"IQ motif, EF-hand binding site"
IPR036961,204,MYH9;MYO1C,6.973884637266237e-05,inf,2,19,2,2215,Kinesin motor domain superfamily
IPR036961,202,MYO1B;MYH9;MYO1C,0.0008509721798122849,20.4,3,19,23,2215,Kinesin motor domain superfamily
IPR036961,157,MYH9;MYO1C,0.0068506253885285955,19.755656108597286,2,19,15,2215,Kinesin motor domain superfamily
IPR007526,193,SMARCC2;SMARCC1,7.748760708073597e-05,inf,2,2,20,2215,SWIRM domain
IPR032448,193,SMARCC2;SMARCC1,7.748760708073597e-05,inf,2,2,20,2215,"SMARCC, SWIRM-associated domain"
IPR032450,193,SMARCC2;SMARCC1,7.748760708073597e-05,inf,2,2,20,2215,"SMARCC, N-terminal"
IPR032451,193,SMARCC2;SMARCC1,7.748760708073597e-05,inf,2,2,20,2215,"SMARCC, C-terminal"
IPR049898,193,SMARCC2;SMARCC1,7.748760708073597e-05,inf,2,2,20,2215,"MarR-like, BRCT and chromo domains module"
IPR000304,7,PYCR1;PYCR2,9.511586722513361e-05,400.1818181818182,2,3,13,2215,Pyrroline-5-carboxylate reductase
IPR029036,7,PYCR1;PYCR2,9.511586722513361e-05,400.1818181818182,2,3,13,2215,"Pyrroline-5-carboxylate reductase, dimerisation domain"
IPR036020,54,NEDD4L;YAP1;ITCH,9.765105556625765e-05,49.30827067669173,3,10,22,2215,WW domain superfamily
IPR034870,216,TAF15;FUS,0.0001279631895036869,338.3076923076923,2,3,15,2215,TAF15/EWS/TLS family
IPR034870,178,EWSR1,0.009455138732141516,183.83333333333334,1,3,7,2215,TAF15/EWS/TLS family
IPR001202,54,NEDD4L;YAP1;ITCH,0.00013340566668487822,43.125,3,11,22,2215,WW domain
IPR005283,146,ABCD3;ABCD1,0.00015415955513956944,inf,2,2,28,2215,Peroxysomal long chain fatty acyl transporter
IPR000562,127,MMP2;IGF2R,0.0001821995527325364,183.5,2,5,10,2215,Fibronectin type II domain
IPR013806,127,MMP2;IGF2R,0.0001821995527325364,183.5,2,5,10,2215,Kringle-like fold
IPR036943,127,MMP2;IGF2R,0.0001821995527325364,183.5,2,5,10,2215,Fibronectin type II domain superfamily
IPR028939,7,PYCR1;PYCR2,0.00018960140224870853,200.0,2,4,13,2215,"Pyrroline-5-carboxylate reductase, catalytic, N-terminal"
IPR020867,95,MTHFD1;MTHFD2,0.00018964072259232748,inf,2,2,31,2215,"Tetrahydrofolate dehydrogenase/cyclohydrolase, conserved site"
IPR033122,201,LETM1;LETMD1,0.00021533398178225576,inf,2,2,33,2215,"LETM1-like, ribosome-binding domain"
IPR044202,201,LETM1;LETMD1,0.00021533398178225576,inf,2,2,33,2215,LETM1/MDM38-like
IPR004277,132,PTDSS1;PTDSS2,0.0002210679746150217,183.25,2,4,14,2215,Phosphatidyl serine synthase
IPR004277,36,PTDSS1,0.0036092911719184913,736.6666666666666,1,4,2,2215,Phosphatidyl serine synthase
IPR018253,154,DNAJB12;DNAJB6,0.00022248672368290333,163.03703703703704,2,11,5,2215,"DnaJ domain, conserved site"
IPR036598,43,TMED2;ACBD3,0.00023764386223846138,146.8,2,7,8,2215,GOLD domain superfamily
IPR036598,225,FYCO1,0.006311977340992372,367.8333333333333,1,7,2,2215,GOLD domain superfamily
IPR000569,54,NEDD4L;ITCH,0.0002809230292721345,219.2,2,3,22,2215,HECT domain
IPR024928,54,NEDD4L;ITCH,0.0002809230292721345,219.2,2,3,22,2215,"E3 ubiquitin-protein ligase, SMURF1 type"
IPR035983,54,NEDD4L;ITCH,0.0002809230292721345,219.2,2,3,22,2215,"HECT, E3 ligase catalytic domain"
IPR018108,98,SLC25A6;SLC25A3;SLC25A4;SLC25A5,0.0004180639980892553,14.210526315789474,4,23,36,2215,Mitochondrial substrate/solute carrier
IPR023395,98,SLC25A6;SLC25A3;SLC25A4;SLC25A5,0.0004180639980892553,14.210526315789474,4,23,36,2215,Mitochondrial carrier domain superfamily
IPR000953,193,SMARCC2;SMARCC1,0.0004598980521716837,121.83333333333333,2,4,20,2215,Chromo/chromo shadow domain
IPR017884,193,SMARCC2;SMARCC1,0.0004598980521716837,121.83333333333333,2,4,20,2215,SANT domain
IPR008927,7,PYCR1;PYCR2,0.00047086785838321057,99.9090909090909,2,6,13,2215,"6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily"
IPR005123,130,LEPREL2;PLOD3,0.00047086785838321057,99.9090909090909,2,6,13,2215,Oxoglutarate/iron-dependent dioxygenase
IPR005123,162,PLOD1,0.005411489780812029,441.6,1,6,2,2215,Oxoglutarate/iron-dependent dioxygenase
IPR006620,130,LEPREL2;PLOD3,0.00047086785838321057,99.9090909090909,2,6,13,2215,"Prolyl 4-hydroxylase, alpha subunit"
IPR006620,162,PLOD1,0.005411489780812029,441.6,1,6,2,2215,"Prolyl 4-hydroxylase, alpha subunit"
IPR001623,154,DNAJB12;DNAJB6,0.0004832305876020847,104.57142857142857,2,16,5,2215,DnaJ domain
IPR009038,43,TMED2;ACBD3,0.0005064786503283009,91.625,2,10,8,2215,GOLD domain
IPR009038,225,FYCO1,0.009010993044467688,244.88888888888889,1,10,2,2215,GOLD domain
IPR036869,154,DNAJB12;DNAJB6,0.0005471648166896252,97.55555555555556,2,17,5,2215,Chaperone J-domain superfamily
IPR020613,23,HADHB;SCP2,0.0005486825047157617,91.54166666666667,2,6,14,2215,"Thiolase, conserved site"
IPR020615,23,HADHB;SCP2,0.0005486825047157617,91.54166666666667,2,6,14,2215,"Thiolase, acyl-enzyme intermediate active site"
IPR020616,23,HADHB;SCP2,0.0005486825047157617,91.54166666666667,2,6,14,2215,"Thiolase, N-terminal"
IPR020617,23,HADHB;SCP2,0.0005486825047157617,91.54166666666667,2,6,14,2215,"Thiolase, C-terminal"
IPR000672,95,MTHFD1;MTHFD2,0.000563951918382335,150.55172413793105,2,3,31,2215,Tetrahydrofolate dehydrogenase/cyclohydrolase
IPR000672,121,MTHFD1L,0.008108069564506168,220.7,1,3,6,2215,Tetrahydrofolate dehydrogenase/cyclohydrolase
IPR002652,95,KPNA6;KPNA4,0.000563951918382335,150.55172413793105,2,3,31,2215,"Importin-alpha, importin-beta-binding domain"
IPR020630,95,MTHFD1;MTHFD2,0.000563951918382335,150.55172413793105,2,3,31,2215,"Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain"
IPR020630,121,MTHFD1L,0.008108069564506168,220.7,1,3,6,2215,"Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain"
IPR020631,95,MTHFD1;MTHFD2,0.000563951918382335,150.55172413793105,2,3,31,2215,"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain"
IPR020631,121,MTHFD1L,0.008108069564506168,220.7,1,3,6,2215,"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain"
IPR024931,95,KPNA6;KPNA4,0.000563951918382335,150.55172413793105,2,3,31,2215,Importin subunit alpha
IPR032413,95,KPNA6;KPNA4,0.000563951918382335,150.55172413793105,2,3,31,2215,Atypical Arm repeat
IPR036975,95,KPNA6;KPNA4,0.000563951918382335,150.55172413793105,2,3,31,2215,"Importin-alpha, importin-beta-binding domain superfamily"
IPR011527,146,ABCC1;ABCD3;ABCD1,0.0006004001266578712,23.73818181818182,3,14,28,2215,"ABC transporter type 1, transmembrane domain"
