group,site,proteins,protein_count,UniProt ID,Interpro ID,domain
1,P1,MRC2,17,Q9UBG0,IPR000562,Fibronectin type II domain
1,P1,MRC2,17,Q9UBG0,IPR000772,"Ricin B, lectin domain"
1,P1,MRC2,17,Q9UBG0,IPR001304,C-type lectin-like
1,P1,MRC2,17,Q9UBG0,IPR013806,Kringle-like fold
1,P1,MRC2,17,Q9UBG0,IPR016186,C-type lectin-like/link domain superfamily
1,P1,MRC2,17,Q9UBG0,IPR016187,C-type lectin fold
1,P1,MRC2,17,Q9UBG0,IPR018378,"C-type lectin, conserved site"
1,P1,MRC2,17,Q9UBG0,IPR033989,"CD209-like, C-type lectin-like domain"
1,P1,MRC2,17,Q9UBG0,IPR035992,Ricin B-like lectins
1,P1,MRC2,17,Q9UBG0,IPR036943,Fibronectin type II domain superfamily
1,P1,INF2,17,Q27J81,IPR003124,WH2 domain
1,P1,INF2,17,Q27J81,IPR010472,"Formin, FH3 domain"
1,P1,INF2,17,Q27J81,IPR010473,"Formin, GTPase-binding domain"
1,P1,INF2,17,Q27J81,IPR011989,Armadillo-like helical
1,P1,INF2,17,Q27J81,IPR014768,Rho GTPase-binding/formin homology 3 (GBD/FH3) domain
1,P1,INF2,17,Q27J81,IPR015425,"Formin, FH2 domain"
1,P1,INF2,17,Q27J81,IPR016024,Armadillo-type fold
1,P1,INF2,17,Q27J81,IPR027649,Inverted formin-2
1,P1,INF2,17,Q27J81,IPR042201,"Formin, FH2 domain superfamily"
1,P1,XRN2,17,Q9H0D6,IPR004859,"Xrn1, N-terminal"
1,P1,XRN2,17,Q9H0D6,IPR017151,5'-3' exoribonuclease type 2
1,P1,XRN2,17,Q9H0D6,IPR027073,5'-3' exoribonuclease
1,P1,XRN2,17,Q9H0D6,IPR041412,"Xrn1, helical domain"
1,P1,RAB2A,17,P61019,IPR001806,Small GTPase
1,P1,RAB2A,17,P61019,IPR005225,Small GTP-binding protein domain
1,P1,RAB2A,17,P61019,IPR027417,P-loop containing nucleoside triphosphate hydrolase
1,P1,PPT1,17,P50897,IPR002472,Palmitoyl protein thioesterase
1,P1,PPT1,17,P50897,IPR029058,Alpha/Beta hydrolase fold
1,P1,PUF60,17,Q9UHX1,IPR000504,RNA recognition motif domain
1,P1,PUF60,17,Q9UHX1,IPR003954,"RNA recognition motif domain, eukaryote"
1,P1,PUF60,17,Q9UHX1,IPR006532,"Poly-U binding splicing factor, PUF60-like"
1,P1,PUF60,17,Q9UHX1,IPR012677,Nucleotide-binding alpha-beta plait domain superfamily
1,P1,PUF60,17,Q9UHX1,IPR034209,"PUF60, RNA recognition motif 1"
1,P1,PUF60,17,Q9UHX1,IPR034211,"PUF60, RNA recognition motif 2"
1,P1,PUF60,17,Q9UHX1,IPR034212,"PUF60, RNA recognition motif 3"
1,P1,PUF60,17,Q9UHX1,IPR035979,RNA-binding domain superfamily
1,P1,COQ10B,17,Q9H8M1,IPR005031,"Coenzyme Q-binding protein COQ10, START domain"
1,P1,COQ10B,17,Q9H8M1,IPR023393,START-like domain superfamily
1,P1,COQ10B,17,Q9H8M1,IPR044996,Coenzyme Q-binding protein COQ10-like
1,P1,NDUFB4,17,O95168,IPR009866,"NADH:ubiquinone oxidoreductase, subunit NDUFB4"
1,P1,TRA2A,17,Q13595,IPR000504,RNA recognition motif domain
1,P1,TRA2A,17,Q13595,IPR012677,Nucleotide-binding alpha-beta plait domain superfamily
1,P1,TRA2A,17,Q13595,IPR035979,RNA-binding domain superfamily
1,P1,TUBB2B,17,Q9BVA1,IPR000217,Tubulin
1,P1,TUBB2B,17,Q9BVA1,IPR002453,Beta tubulin
1,P1,TUBB2B,17,Q9BVA1,IPR003008,"Tubulin/FtsZ, GTPase domain"
1,P1,TUBB2B,17,Q9BVA1,IPR008280,"Tubulin/FtsZ, C-terminal"
1,P1,TUBB2B,17,Q9BVA1,IPR013838,"Beta tubulin, autoregulation binding site"
1,P1,TUBB2B,17,Q9BVA1,IPR017975,"Tubulin, conserved site"
1,P1,TUBB2B,17,Q9BVA1,IPR018316,"Tubulin/FtsZ, 2-layer sandwich domain"
1,P1,TUBB2B,17,Q9BVA1,IPR023123,"Tubulin, C-terminal"
1,P1,TUBB2B,17,Q9BVA1,IPR036525,"Tubulin/FtsZ, GTPase domain superfamily"
1,P1,TUBB2B,17,Q9BVA1,IPR037103,"Tubulin/FtsZ-like, C-terminal domain"
1,P1,AP2M1,17,Q96CW1,IPR001392,"Clathrin adaptor, mu subunit"
1,P1,AP2M1,17,Q96CW1,IPR011012,Longin-like domain superfamily
1,P1,AP2M1,17,Q96CW1,IPR018240,"Clathrin adaptor, mu subunit, conserved site"
1,P1,AP2M1,17,Q96CW1,IPR022775,"AP complex, mu/sigma subunit"
1,P1,AP2M1,17,Q96CW1,IPR028565,Mu homology domain
1,P1,AP2M1,17,Q96CW1,IPR036168,"AP-2 complex subunit mu, C-terminal superfamily"
1,P1,AP2M1,17,Q96CW1,IPR043512,"Mu2, C-terminal domain"
1,P1,AP2M1,17,Q96CW1,IPR043532,"AP-2 complex subunit mu, N-terminal"
1,P1,AP2B1,17,P63010,IPR000225,Armadillo
1,P1,AP2B1,17,P63010,IPR002553,"Clathrin/coatomer adaptor, adaptin-like, N-terminal"
1,P1,AP2B1,17,P63010,IPR008152,"Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain"
1,P1,AP2B1,17,P63010,IPR009028,"Coatomer/calthrin adaptor appendage, C-terminal subdomain"
1,P1,AP2B1,17,P63010,IPR011989,Armadillo-like helical
1,P1,AP2B1,17,P63010,IPR012295,TBP domain superfamily
1,P1,AP2B1,17,P63010,IPR013037,"Clathrin adaptor, beta-adaptin, appendage, Ig-like subdomain"
1,P1,AP2B1,17,P63010,IPR013041,"Clathrin adaptor, appendage, Ig-like subdomain superfamily"
1,P1,AP2B1,17,P63010,IPR015151,"Beta-adaptin appendage, C-terminal subdomain"
1,P1,AP2B1,17,P63010,IPR016024,Armadillo-type fold
1,P1,AP2B1,17,P63010,IPR016342,AP-1/2/4 complex subunit beta
1,P1,AP2B1,17,P63010,IPR026739,AP complex subunit beta
1,P1,EHD1,17,Q9H4M9,IPR000261,EH domain
1,P1,EHD1,17,Q9H4M9,IPR002048,EF-hand domain
1,P1,EHD1,17,Q9H4M9,IPR011992,EF-hand domain pair
1,P1,EHD1,17,Q9H4M9,IPR018247,"EF-Hand 1, calcium-binding site"
1,P1,EHD1,17,Q9H4M9,IPR027417,P-loop containing nucleoside triphosphate hydrolase
1,P1,EHD1,17,Q9H4M9,IPR030381,Dynamin-type guanine nucleotide-binding (G) domain
1,P1,EHD1,17,Q9H4M9,IPR031692,"EH domain-containing protein, N-terminal"
