group,group_protein_count,domain,total_domain_protein_count,domain_protein_in_group_count,coverage_of_domain_proteins_in_group,representation_of_total_domain_proteins
1,17,5'-3' exoribonuclease,1,1,0.058823529411764705,1.0
1,17,5'-3' exoribonuclease type 2,1,1,0.058823529411764705,1.0
1,17,AP complex subunit beta,2,1,0.058823529411764705,0.5
1,17,"AP complex, mu/sigma subunit",5,1,0.058823529411764705,0.2
1,17,AP-1/2/4 complex subunit beta,1,1,0.058823529411764705,1.0
1,17,"AP-2 complex subunit mu, C-terminal superfamily",3,1,0.058823529411764705,0.3333333333333333
1,17,"AP-2 complex subunit mu, N-terminal",1,1,0.058823529411764705,1.0
1,17,Alpha/Beta hydrolase fold,16,1,0.058823529411764705,0.0625
1,17,Armadillo,16,1,0.058823529411764705,0.0625
1,17,Beta tubulin,10,1,0.058823529411764705,0.1
1,17,"Beta tubulin, autoregulation binding site",10,1,0.058823529411764705,0.1
1,17,"Beta-adaptin appendage, C-terminal subdomain",2,1,0.058823529411764705,0.5
1,17,C-type lectin fold,4,1,0.058823529411764705,0.25
1,17,"C-type lectin, conserved site",2,1,0.058823529411764705,0.5
1,17,C-type lectin-like,2,1,0.058823529411764705,0.5
1,17,C-type lectin-like/link domain superfamily,3,1,0.058823529411764705,0.3333333333333333
1,17,"CD209-like, C-type lectin-like domain",1,1,0.058823529411764705,1.0
1,17,"Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain",3,1,0.058823529411764705,0.3333333333333333
1,17,"Clathrin adaptor, appendage, Ig-like subdomain superfamily",3,1,0.058823529411764705,0.3333333333333333
1,17,"Clathrin adaptor, beta-adaptin, appendage, Ig-like subdomain",1,1,0.058823529411764705,1.0
1,17,"Clathrin adaptor, mu subunit",2,1,0.058823529411764705,0.5
1,17,"Clathrin adaptor, mu subunit, conserved site",2,1,0.058823529411764705,0.5
1,17,"Clathrin/coatomer adaptor, adaptin-like, N-terminal",6,1,0.058823529411764705,0.16666666666666666
1,17,"Coatomer, epsilon subunit",1,1,0.058823529411764705,1.0
1,17,"Coatomer/calthrin adaptor appendage, C-terminal subdomain",3,1,0.058823529411764705,0.3333333333333333
1,17,"Coenzyme Q-binding protein COQ10, START domain",1,1,0.058823529411764705,1.0
1,17,Coenzyme Q-binding protein COQ10-like,1,1,0.058823529411764705,1.0
1,17,Domain of unknown function DUF5600,3,1,0.058823529411764705,0.3333333333333333
1,17,"Dynamin, N-terminal",8,1,0.058823529411764705,0.125
1,17,Dynamin-type guanine nucleotide-binding (G) domain,8,1,0.058823529411764705,0.125
1,17,"EF-Hand 1, calcium-binding site",52,1,0.058823529411764705,0.019230769230769232
1,17,EF-hand domain,61,1,0.058823529411764705,0.01639344262295082
1,17,EF-hand domain pair,68,1,0.058823529411764705,0.014705882352941176
1,17,EH domain,5,1,0.058823529411764705,0.2
1,17,"EH domain-containing protein, N-terminal",3,1,0.058823529411764705,0.3333333333333333
1,17,Fibronectin type II domain,5,1,0.058823529411764705,0.2
1,17,Fibronectin type II domain superfamily,5,1,0.058823529411764705,0.2
1,17,"Formin, FH2 domain",2,1,0.058823529411764705,0.5
1,17,"Formin, FH2 domain superfamily",2,1,0.058823529411764705,0.5
1,17,"Formin, FH3 domain",2,1,0.058823529411764705,0.5
1,17,"Formin, GTPase-binding domain",2,1,0.058823529411764705,0.5
1,17,Inverted formin-2,1,1,0.058823529411764705,1.0
1,17,Kringle-like fold,5,1,0.058823529411764705,0.2
1,17,Leucine-rich repeat,15,1,0.058823529411764705,0.06666666666666667
1,17,Leucine-rich repeat domain superfamily,16,1,0.058823529411764705,0.0625
1,17,Longin-like domain superfamily,8,1,0.058823529411764705,0.125
1,17,Mu homology domain,3,1,0.058823529411764705,0.3333333333333333
1,17,"Mu2, C-terminal domain",1,1,0.058823529411764705,1.0
1,17,NACHT nucleoside triphosphatase,2,1,0.058823529411764705,0.5
1,17,"NADH:ubiquinone oxidoreductase, subunit NDUFB4",1,1,0.058823529411764705,1.0
1,17,"NLR family member X1, C-terminal domain",2,1,0.058823529411764705,0.5
1,17,"PUF60, RNA recognition motif 1",1,1,0.058823529411764705,1.0
1,17,"PUF60, RNA recognition motif 2",1,1,0.058823529411764705,1.0
1,17,"PUF60, RNA recognition motif 3",1,1,0.058823529411764705,1.0
1,17,Palmitoyl protein thioesterase,1,1,0.058823529411764705,1.0
1,17,"Poly-U binding splicing factor, PUF60-like",1,1,0.058823529411764705,1.0
1,17,Protein of unknown function DUF1075,3,1,0.058823529411764705,0.3333333333333333
1,17,"RNA recognition motif domain, eukaryote",11,1,0.058823529411764705,0.09090909090909091
1,17,Rho GTPase-binding/formin homology 3 (GBD/FH3) domain,2,1,0.058823529411764705,0.5
1,17,"Ricin B, lectin domain",6,1,0.058823529411764705,0.16666666666666666
1,17,Ricin B-like lectins,6,1,0.058823529411764705,0.16666666666666666
1,17,START-like domain superfamily,1,1,0.058823529411764705,1.0
1,17,TBP domain superfamily,3,1,0.058823529411764705,0.3333333333333333
1,17,Tetratricopeptide-like helical domain superfamily,46,1,0.058823529411764705,0.021739130434782608
1,17,Tubulin,15,1,0.058823529411764705,0.06666666666666667
1,17,"Tubulin, C-terminal",15,1,0.058823529411764705,0.06666666666666667
1,17,"Tubulin, conserved site",15,1,0.058823529411764705,0.06666666666666667
1,17,"Tubulin/FtsZ, 2-layer sandwich domain",15,1,0.058823529411764705,0.06666666666666667
1,17,"Tubulin/FtsZ, C-terminal",15,1,0.058823529411764705,0.06666666666666667
1,17,"Tubulin/FtsZ, GTPase domain",15,1,0.058823529411764705,0.06666666666666667
1,17,"Tubulin/FtsZ, GTPase domain superfamily",15,1,0.058823529411764705,0.06666666666666667
1,17,"Tubulin/FtsZ-like, C-terminal domain",15,1,0.058823529411764705,0.06666666666666667
1,17,WH2 domain,1,1,0.058823529411764705,1.0
1,17,"Xrn1, N-terminal",1,1,0.058823529411764705,1.0
1,17,"Xrn1, helical domain",1,1,0.058823529411764705,1.0
1,17,Armadillo-like helical,63,2,0.11764705882352941,0.031746031746031744
1,17,Armadillo-type fold,84,2,0.11764705882352941,0.023809523809523808
1,17,Nucleotide-binding alpha-beta plait domain superfamily,126,2,0.11764705882352941,0.015873015873015872
1,17,RNA recognition motif domain,117,2,0.11764705882352941,0.017094017094017096
1,17,RNA-binding domain superfamily,127,2,0.11764705882352941,0.015748031496062992
1,17,Small GTP-binding protein domain,67,2,0.11764705882352941,0.029850746268656716
1,17,Small GTPase,49,2,0.11764705882352941,0.04081632653061224
1,17,P-loop containing nucleoside triphosphate hydrolase,269,4,0.23529411764705882,0.01486988847583643
2,6,Holocytochrome c/c1 synthase,1,1,0.16666666666666666,1.0
2,6,"Nucleophile aminohydrolases, N-terminal",5,1,0.16666666666666666,0.2
2,6,P-loop containing nucleoside triphosphate hydrolase,269,1,0.16666666666666666,0.0037174721189591076
