group,domain,Interpro ID,domain_count
1,"Palmitoyl protein thioesterase//WH2 domain//Xrn1, N-terminal//Coenzyme Q-binding protein COQ10, START domain//Poly-U binding splicing factor, PUF60-like//Coatomer, epsilon subunit//NADH:ubiquinone oxidoreductase, subunit NDUFB4//Clathrin adaptor, beta-adaptin, appendage, Ig-like subdomain//AP-1/2/4 complex subunit beta//5'-3' exoribonuclease type 2//START-like domain superfamily//5'-3' exoribonuclease//Inverted formin-2//CD209-like, C-type lectin-like domain//PUF60, RNA recognition motif 1//PUF60, RNA recognition motif 2//PUF60, RNA recognition motif 3//Xrn1, helical domain//Mu2, C-terminal domain//AP-2 complex subunit mu, N-terminal//Coenzyme Q-binding protein COQ10-like",IPR002472//IPR003124//IPR004859//IPR005031//IPR006532//IPR006822//IPR009866//IPR013037//IPR016342//IPR017151//IPR023393//IPR027073//IPR027649//IPR033989//IPR034209//IPR034211//IPR034212//IPR041412//IPR043512//IPR043532//IPR044996,21
10,"Sushi/SCR/CCP domain//Glycosyl transferase, family 35//Acyl-CoA thioesterase//Translocon-associated protein (TRAP), alpha subunit//Large ribosomal subunit protein uL15, bacterial-type//Glycogen/starch/alpha-glucan phosphorylase//Large ribosomal subunit protein mL55//Kinectin//Acyl-CoA thioesterase II domain//Stimulator of interferon genes protein//Aggrecan/versican, C-type lectin-like domain//Phosphorylase pyridoxal-phosphate attachment site//VIP36, lectin domain//Sushi/SCR/CCP superfamily//Stimulator of interferon genes protein, C-terminal domain superfamily//Acyl-CoA thioesterase, double hotdog domain//Large ribosomal subunit protein mL55 superfamily//Stimulator of interferon genes protein, C-terminal//Acyl-CoA thioesterase-like, N-terminal HotDog domain",IPR000436//IPR000811//IPR003703//IPR005595//IPR005749//IPR011833//IPR018615//IPR024854//IPR025652//IPR029158//IPR033987//IPR035090//IPR035664//IPR035976//IPR038623//IPR042171//IPR044884//IPR047191//IPR049449,19
100,"Biotin-binding site//Biotin carboxylase-like, N-terminal domain//Biotin carboxylase, C-terminal//Rudiment single hybrid motif//Biotin carboxylation domain//Small ribosomal subunit protein uS17, conserved site//Splicing factor 3A subunit 1, conserved domain//Small ribosomal subunit protein uS17, archaeal/eukaryotic//Small ribosomal subunit protein uS17, N-terminal//Splicing factor 3A subunit 1, ubiquitin domain//ADP-ribosylation factor-like protein 2/3//Splicing factor 3A subunit 1//ADP-ribosylation factor-like protein 2//Small ribosomal subunit protein uS17//F-actin-capping protein subunit alpha//Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain//ATP-grasp fold//Pre-ATP-grasp domain superfamily//F-actin capping protein, alpha subunit, conserved site//F-actin capping protein, alpha subunit, domain 1//PSMD4, RAZUL domain",IPR001882//IPR005481//IPR005482//IPR011054//IPR011764//IPR019979//IPR022030//IPR028333//IPR032440//IPR035563//IPR044612//IPR045146//IPR045873//IPR000266//IPR002189//IPR005479//IPR011761//IPR016185//IPR017865//IPR042489//IPR049590,21
101,"Zinc finger, UBP-type//Nuclear pore complex protein Nup98-Nup96-like, autopeptidase S59 domain//Nuclear pore complex protein NUP96, C-terminal domain//USP39//Nuclear pore complex protein Nup98-Nup96-like, autopeptidase S59 domain superfamily//Nucleoporin peptidase S59-like//Matrix remodeling-associated protein 8//Receptor L-domain//Furin-like cysteine-rich domain//Tyrosine protein kinase, EGF/ERB/XmrK receptor//Growth factor receptor domain 4//Receptor L-domain superfamily//Epidermal growth factor receptor-like, transmembrane-juxtamembrane segment",IPR001607//IPR007230//IPR021967//IPR033809//IPR036903//IPR037665//IPR042472//IPR000494//IPR006211//IPR016245//IPR032778//IPR036941//IPR049328,13
102,"Zinc finger, piccolo-type//Peroxisome membrane protein, Pex16//Protein bassoon, FYVE domain//DDX47/Rrp3, DEAD-box helicase domain",IPR008899//IPR013919//IPR030627//IPR044765,4
103,"RNA binding protein fox-1 homolog 1-3//Fox-1 C-terminal domain//Splicing factor 1, helix-hairpin domain//FOX1, RNA recognition motif//ADCK1-like domain//Splicing factor 1, helix-hairpin domain superfamily//RNA binding protein fox-1 homolog 1-like//Major sperm protein (MSP) domain//ABC1 atypical kinase-like domain//PapD-like superfamily//Vesicle-associated membrane-protein-associated protein//KH domain-containing BBP-like",IPR017325//IPR025670//IPR032570//IPR034237//IPR045307//IPR047086//IPR047131//IPR000535//IPR004147//IPR008962//IPR016763//IPR045071,12
104,"C-5 cytosine methyltransferase//Zinc finger, CXXC-type//Cytochrome c oxidase subunit IV family//Large ribosomal subunit protein mL49//DMAP1-binding domain//Cytochrome c oxidase subunit IV//DNA (cytosine-5)-methyltransferase 1-like//GPCR family 3, C-terminal//DNA methylase, C-5 cytosine-specific, active site//DNA (cytosine-5)-methyltransferase 1, replication foci domain//GYF domain 2//Transmembrane protein 11//DNA methylase, C-5 cytosine-specific, conserved site//PCNA-associated factor, histone-like domain//Cytochrome c oxidase subunit IV superfamily//PCNA-associated factor//DnaJ homologue subfamily C, GRV2/DNAJC13//DnaJ homologue subfamily C, GRV2/DNAJC13, N-terminal domain",IPR001525//IPR002857//IPR004203//IPR007740//IPR010506//IPR013288//IPR017198//IPR017978//IPR018117//IPR022702//IPR025640//IPR026120//IPR031303//IPR031444//IPR036639//IPR040444//IPR044978//IPR045802,18
105,"Peptidase M13//NADH:ubiquinone oxidoreductase-like, 20kDa subunit//NADH-ubiquinone oxidoreductase, 20 Kd subunit//Elongation factor 4//Signal peptidase complex subunit 3//Peptidase M13, N-terminal domain//PRO8NT domain//PROCN domain//PROCT domain//GTP-binding protein LepA, C-terminal//Peptidase M13, C-terminal domain//Nuclear RNA-splicing-associated protein, SR-25//Pre-mRNA-processing-splicing factor 8, U6-snRNA-binding//Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding//RNA recognition motif, spliceosomal PrP8//PRP8 domain IV core//Isoleucine-tRNA ligase, type 2//Sphingomyelin phosphodiesterase 4//Pre-mRNA-processing-splicing factor 8//Isoleucyl tRNA synthetase type 2, anticodon-binding domain//Elongation factor 4, domain IV//LepA, C-terminal domain superfamily//Non-specific endonuclease//EXOG, C-terminal//Zinc-finger CCCH domain//Peptidase M13, domain 2//Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding domain superfamily//Prp8 RNase domain IV, palm region//Prp8 RNase domain IV, fingers region",IPR000718//IPR006137//IPR006138//IPR006297//IPR007653//IPR008753//IPR012591//IPR012592//IPR012984//IPR013842//IPR018497//IPR019532//IPR019580//IPR019581//IPR019582//IPR021983//IPR023586//IPR024129//IPR027652//IPR033709//IPR035654//IPR038363//IPR040255//IPR041003//IPR041686//IPR042089//IPR042516//IPR043172//IPR043173,29
106,"Signal transduction histidine kinase-related protein, C-terminal//Histidine kinase domain//The Golgi pH regulator/GPCR-type G protein//Branched-chain alpha-ketoacid dehydrogenase kinase/Pyruvate dehydrogenase kinase, N-terminal//Golgi pH regulator, conserved domain//Abscisic acid G-protein coupled receptor-like domain//Pentacotripeptide-repeat region of PRORP//Leucine-rich PPR motif-containing protein//Coiled-coil domain-containing protein 127//Alpha-ketoacid/pyruvate dehydrogenase kinase, N-terminal domain superfamily//PDK/BCKDK protein kinase//Pentatricopeptide repeat//Oligosaccharyl transferase, STT3 subunit//Oligosaccharyl transferase STT3, N-terminal domain//STT3/PglB/AglB, core domain",IPR004358//IPR005467//IPR015672//IPR018955//IPR022535//IPR025969//IPR033443//IPR033490//IPR034607//IPR036784//IPR039028//IPR002885//IPR003674//IPR048307//IPR048999,15
108,"Large ribosomal subunit protein uL23, conserved site//Small ribosomal subunit protein eS1//Large ribosomal subunit protein uL5//Large ribosomal subunit protein eL43//DAD/Ost2//Methylpurine-DNA glycosylase//Large ribosomal subunit protein uL23, N-terminal//ATPase, V1 complex, subunit B//Formyl transferase-like, C-terminal domain superfamily//Large ribosomal subunit protein eL37/eL43//Small ribosomal subunit protein eS1, conserved site//Large ribosomal subunit protein uL23//Large ribosomal subunit protein uL5, conserved site//Large ribosomal subunit protein uL5 domain superfamily//V-type ATP synthase regulatory subunit B/beta//Small ribosomal subunit protein eS1, eukaryotes//Large ribosomal subunit protein uL5, C-terminal//Large ribosomal subunit protein uL5, N-terminal//Mitochondrial ABC-transporter, N-terminal five TM domain//Methylpurine-DNA glycosylase superfamily",IPR001014//IPR001593//IPR002132//IPR002674//IPR003038//IPR003180//IPR005633//IPR005723//IPR011034//IPR011331//IPR018281//IPR019985//IPR020929//IPR022803//IPR022879//IPR027500//IPR031309//IPR031310//IPR032410//IPR036995,20
