gene,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P160,P161,P162,P163,P164,P165,P166,P167,P168,P169,P170,P171,P172,P173,P174,P175,P176,P177,P178,P179,P180,P181,P182,P183,P184,P185,P186,P187,P188,P189,P190,P191,P192,P193,P194,P195,P196,P197,P198,P199,P200,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P218,P219,P220,P221,P222,P223,P224,P225,P226,P227,P228
ESYT2,0.045023479,0.0,0.0,0.075886019,0.043891817,0.011828785,0.068569705,0.038924862,0.054822765,0.011261943,0.026930073,0.078763254,0.025975551,0.040197726,0.01432694,0.022882413,0.0,0.001798915,0.073307902,0.063839607,0.040343486,0.052880317,0.0,0.0328389,0.087861575,0.026543405,0.0,0.088843428,0.031724952,0.0,0.169677168,0.068109147,0.109146506,0.408307672,0.096291333,0.102759406,0.0,0.042642739,0.0,0.070815817,0.064572453,0.093874156,0.073288664,0.062844597,0.012770149,0.023510799,0.089513518,0.073429368,0.09569817,0.076335952,0.130170286,0.050897382,0.09224347,0.08439979,0.047272626,0.087444544,0.051537104,0.124420881,0.051139303,0.080378249,0.056813799,0.037102364,0.0,0.039786261,0.081560008,0.052144434,0.240917116,0.046588369,0.078343689,0.179708257,0.036618877,0.042841136,0.081146523,0.035896812,0.042566825,0.063300602,0.04326323,0.0,0.076204866,0.10104876,0.063703969,0.079958685,0.088689573,0.046638981,0.057564359,0.024638411,0.0,0.078234874,0.035718661,0.0,0.0,0.082023099,0.052477457,0.101959758,0.044242047,0.041756544,0.0,0.037211176,0.040542386,0.040892616,0.09330225,0.057560816,0.031992178,1.0,0.0,0.0,0.0,0.084646262,0.045407109,0.0,0.072578087,0.026125358,0.071538545,0.088814579,0.06868054,0.057937361,0.074951746,0.0,0.074562542,0.070698403,0.024883367,0.04735158,0.029680271,0.003830235,0.073223889,0.048317239,0.0,0.032229036,0.038826678,0.069864839,0.0,0.18300809,0.053242691,0.094067492,0.064923696,0.073216803,0.0679067,0.041546509,0.0,0.046665296,0.04275712,0.027014088,0.050301187,0.044588223,0.046519537,0.125412852,0.081118174,0.0,0.04857586,0.106686816,0.037211176,0.0,0.051855952,0.086547717,0.055765647,0.016784607,0.040778235,0.0,0.0,0.0,0.0,0.044042639,0.004829699,0.0,0.0,0.04003476,0.010735589,0.051869113,0.101747192,0.342353553,0.327745199,0.222798392,0.221796304,0.027842082,0.0,0.066751763,0.066694066,0.095974006,0.102901116,0.093959183,0.0,0.001334762,0.0,0.14756678,0.023257744,0.039510429,0.0,0.041887626,0.073042192,0.028984876,0.059724938,0.0,0.017644992,0.0,0.0,0.013183134,0.059670281,0.0,0.052505799,0.044114508,0.0,0.0,0.040106121,0.042122968,0.038434442,0.0,0.098077901,0.221735567,0.039533205,0.062468052,0.28488788,0.055837009,0.076995917,0.045861594,0.0,0.0,0.312076569,0.048989352,0.08938092,0.198849306,0.059830211,0.0,0.03224422,0.059351936,0.125313148,0.289463103,0.432327628,0.18139866
ILVBL,0.0,0.0,0.0,0.035581842,0.012088021,0.0,0.0,0.0,0.0,0.0,0.025108295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288997203,0.0,0.010403896,0.0,0.0,0.0,0.0,0.082749858,0.066114873,0.0,0.0,0.0,0.121432953,0.0,0.124585107,0.0,0.0,0.045021337,0.0,0.0,0.117965139,0.0,0.0,0.0,0.030847358,0.0,0.0,0.0,0.103538007,0.0,0.204585537,0.04461861,0.115280449,0.0,0.0,0.0,0.0,0.102180704,0.322831511,0.0,0.089348845,0.0,0.081222892,0.036234595,0.0,0.0,0.325680047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0732041,0.068730362,0.0,0.0,0.0,0.0,0.075739659,0.0,0.0,0.053751823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036453817,0.107592046,0.080462985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124924436,0.0,0.096581832,0.07409706,0.0,0.0,0.139390409,0.0,0.04868605,0.0,0.0,0.0,0.0,0.061066072,0.0,0.0,0.0,0.0,0.0,0.0,0.05429117,0.0,0.0,0.0,0.027634483,0.0,0.0,0.141212046,0.0,0.0,0.0,0.0,0.0,0.088277288,0.0,0.0,0.0,0.113378443,0.0,0.0,0.0,0.0,0.0,0.0,0.965513825,0.0,0.0,0.075561516,0.0,0.0,0.122254476,0.0,0.0,0.065717511,0.0,0.0,0.01213624,0.19070892,1.0,0.347075403,0.124549389,0.0,0.0,0.045841075,0.0,0.032392181,0.0,0.05717276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17783241,0.00385045,0.0,0.0,0.0,0.0,0.0,0.007943787,0.03027229,0.0,0.0,0.0,0.082553409,0.0,0.0,0.14920406,0.142377362,0.021354284,0.0,0.092613958,0.869011462,0.156343281,0.038248222,0.0,0.0,0.016941268,0.0,0.0,0.0,0.0,0.151400745,0.13586767,0.868145287,0.0,0.0,0.02796845,0.032355569,0.0,0.472884774,0.554644346,0.362371862
NBAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171974778,0.0,0.077123292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022033272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419458419,0.0,0.0,0.0,0.076555856,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04499827,0.034323465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264659047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33923623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208442956,0.011481523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179768458,0.232585803,0.0,0.0,0.0,0.0,0.0,0.129851758,0.125212669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221412897,0.0,0.0,0.0,0.0,0.0,0.071067072,0.0,0.136522293,0.106851608,0.0,0.15064469,0.0,0.266299844,0.0,0.0,0.148515582,0.0,0.0,0.113844432,0.0,0.0,0.0,0.0,0.0,0.0,0.101968348,0.189534977
VWA8,0.0,0.038688004,0.090101503,0.0,0.0,0.0,0.042611107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100262105,0.035088968,0.0,0.0,0.0,0.0,0.074093573,0.028583577,0.0,0.0,0.011845638,0.0,0.023199072,0.0,0.006172004,0.0,0.355921626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021988431,0.0,0.040871199,0.022556411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05292039,0.0,0.0,0.0,0.004102885,0.022527635,0.005329283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004972326,0.154552504,0.008063329,0.0,0.0,0.0,0.0081315,0.083534785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071407109,0.0,0.0,0.0,0.017405538,0.0,0.0,0.0,0.027076272,0.0,0.0,0.008230845,0.020562658,0.0,0.0,0.0,0.0,0.000770096,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011525678,0.023475183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555290163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031509805,0.0,0.0,0.01820852,0.0,0.0,0.0,0.0,0.0110406,0.0,0.005967147,0.000424717,0.0,0.0,0.0,0.0,0.0,0.002545222,0.0,0.0,0.0,0.02114434,0.055160794,0.0,0.0,0.0,0.0,0.0,0.004243338,0.0,0.0,0.0,0.0,0.0,0.0,0.016405236,0.0,0.0,0.0,0.0,0.0202749,0.033380233,0.0,0.0,0.0,0.0,0.0,0.0,0.008059561,0.0,0.009401063,0.0,0.188466862,0.019267745,0.060990639,0.0,0.04867664,0.092081547,0.0,0.094349362,0.004416679,0.0,0.0,0.0,0.035429485,0.0,0.009354473,0.00489285,0.006295329
GTPBP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033572484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111534961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500752509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128140986,0.0,0.0,0.806543291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050130822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106023051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05987205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109430343,0.0,0.030691028,0.238735721,0.0,0.487123311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156001762,0.0,0.137912333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042171676,0.0,0.029089661
FBLL1,0.0,0.0,0.091059029,0.0,0.046299204,0.22123085,0.0,0.052781697,0.175230548,0.138907,0.339850396,0.191497669,0.108820647,0.024513431,0.0,0.0,0.0,0.0,0.0,0.044207964,0.0,0.055944651,0.0,0.244283199,0.0,0.069509871,0.0,0.0,0.116849825,0.0,0.0,0.0,0.040763158,0.080674164,0.175595894,0.061859973,0.0,0.0,0.0,0.061343249,0.123723768,0.084552176,0.0,0.0,0.173351556,0.095683418,0.0,0.0,0.048185144,0.103994444,0.0,0.198735237,0.0,0.0,0.082641877,0.0,0.099124745,0.0,0.065755382,0.077911362,0.06829723,0.076968394,0.0,0.220639318,0.051259372,0.042988364,0.0,0.038306564,0.0,0.0,0.0,0.0,0.074737966,0.089484513,0.0,0.0,0.0,0.026524639,0.0,0.0,0.083155118,0.0,0.017422007,0.0,0.0,0.061581604,0.0,0.0,0.090782404,0.0,0.0,0.0,0.0,0.0,0.095267609,0.0,0.0,0.239150777,0.337901801,0.224623457,0.0,0.126289979,0.0,0.0,0.0,0.386998951,0.0,0.0,0.131756425,0.0,0.0,0.139096648,0.13818498,0.0,0.093629584,0.0,0.0,0.0,0.114666373,0.0,0.366704196,0.0,0.130181029,0.0,0.0,0.0,0.0,0.0,0.097623296,0.0,0.0,0.103964865,0.19449012,0.0,0.061134476,0.0,0.044053122,0.0,0.0,0.147846088,0.0,0.0,0.065701447,0.0,0.130301952,0.158876419,0.148597687,0.0,0.10470254,0.0,0.0,0.0,0.0,0.076676108,0.0,0.0,0.0,0.0,0.0,0.0,0.126841486,0.0,0.0,0.137429908,0.0,0.171184629,0.0,0.15591529,0.0,0.104422435,0.102056302,0.076502122,0.100125127,0.0,0.0,0.076293349,0.0,0.255365729,0.0,0.153338641,0.256131232,0.12247894,0.0,0.0,0.0,0.0,0.0,0.092457831,0.106217034,0.0,0.0,0.0,0.0,0.0,0.0,0.089771576,0.088291012,0.0,0.219560638,0.0,0.0,0.0,0.115621522,0.299678415,0.0,0.0,0.329883963,0.13946113,0.163219839,0.171333387,0.0,0.128144607,0.16290319,0.112315901,0.0,0.154396445,0.288526297,1.0,0.0,0.206964493,0.0,0.0,0.0,0.239137739,0.0,0.0,0.122739911,0.142611906
SMCHD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.155877829,0.0,0.0,0.0,0.0,0.150325939,0.314363152,0.0,0.0,0.0,0.0,0.0,0.376049221,0.0,0.0,0.0,0.670944095,0.0,0.0,0.0,0.0
METTL15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046435613,0.0,0.0,0.041993435,0.025735136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009470675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001029001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006660583,0.006064494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023188278,0.00822089,0.002295422,0.0,0.0,0.0,0.0,0.004345846,0.0,0.0,0.0,0.0,0.0,0.0,0.006105773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003464496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000504966,0.0,0.0,0.0,0.005742266,0.0,0.0,0.0,0.0,0.000265576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGPD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002051862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059443872,0.000313088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052005235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049405228,0.0,0.0,0.0,0.0,0.0,0.0,0.353132606,0.0,0.0,0.0,0.0,0.049561933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013222613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.070761733,0.0,0.156190962,0.0,0.0,0.0,0.0,0.003586921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.730885029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043667946,0.0,0.026913419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088542834
POM121C,0.18299453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.690654755,0.0,0.0,0.0,0.0,0.479083151,0.0,0.0,0.197477266,0.0,0.0,0.173622638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.230691627,0.090484753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157998785,0.0,0.0,0.239917845,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438851982,0.505899847,0.0,0.0,0.0,0.0,0.0,0.0,0.104298577,0.0,0.0,0.0,0.0,0.0,0.0,0.289642274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052629355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049714599,0.076233894,0.0,0.0,0.186114445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208912909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058509853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045668419,0.0,0.0,0.033833373,0.0,0.0,0.0,0.0,0.0,0.0,0.379003018,0.0,0.0,0.0,0.970463991,0.021946127,0.134277701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456952363,0.146623835,0.0,0.0,0.767220199,0.113346338,0.102786571,0.113743305,0.0,0.0,0.0,0.0,0.057388138,0.0,0.0,0.0,0.0,0.0,0.0,0.079155929,0.0,0.0,0.0,0.174144655,0.0,0.0,0.0,0.0,0.0,0.0,0.198703378,0.0,0.0,0.0,0.0,0.114421919,0.086980008,0.0,0.0,0.107385717,0.0,0.0,0.0,0.11909087,0.0,0.119005889,0.0,0.0,0.048828397,0.0,0.0,0.0,0.075171061,0.761089623,0.0,0.068159744,0.0,0.0,0.09038642,0.104426049,0.0,0.062155422,0.143756419,0.131188139
