source,target,complex_name
BCL6,HDAC4,BCL6-HDAC4 complex
BCL6,HDAC5,BCL6-HDAC5 complex
BCL6,HDAC7,BCL6-HDAC7 complex
EP300,KAT2B,Multisubunit ACTR coactivator complex
EP300,NCOA3,Multisubunit ACTR coactivator complex
CREBBP,EP300,Multisubunit ACTR coactivator complex
CREBBP,KAT2B,Multisubunit ACTR coactivator complex
CREBBP,NCOA3,Multisubunit ACTR coactivator complex
KAT2B,NCOA3,Multisubunit ACTR coactivator complex
SMC2,SMC4,Condensin I complex
NCAPH,SMC2,Condensin I complex
NCAPH,SMC4,Condensin I complex
NCAPD2,SMC2,Condensin I complex
NCAPD2,NCAPH,Condensin I complex
NCAPD2,NCAPG,Condensin I complex
NCAPD2,SMC4,Condensin I complex
NCAPG,SMC2,Condensin I complex
NCAPG,NCAPH,Condensin I complex
NCAPG,SMC4,Condensin I complex
HPS1,HPS4,BLOC-3 (biogenesis of lysosome-related organelles complex 3)
HPS3,HPS6,BLOC-2 (biogenesis of lysosome-related organelles complex 2)
HPS3,HPS5,BLOC-2 (biogenesis of lysosome-related organelles complex 2)
HPS5,HPS6,BLOC-2 (biogenesis of lysosome-related organelles complex 2)
CDS1,MUS81,MUS81-CDS1 complex
HDAC3,TBL1X,NCOR complex
HDAC3,NCOR1,NCOR complex
HDAC3,TBL1XR1,NCOR complex
TBL1X,TBL1XR1,NCOR complex
NCOR1,TBL1X,NCOR complex
NCOR1,TBL1XR1,NCOR complex
GPS2,HDAC3,NCOR complex
GPS2,TBL1X,NCOR complex
GPS2,NCOR1,NCOR complex
GPS2,TBL1XR1,NCOR complex
CORO2A,HDAC3,NCOR complex
CORO2A,TBL1X,NCOR complex
CORO2A,NCOR1,NCOR complex
CORO2A,GPS2,NCOR complex
CORO2A,TBL1XR1,NCOR complex
BLOC1S1,SNAPIN,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S1,BLOC1S3,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S1,BLOC1S2,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S1,BLOC1S5,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S1,DTNBP1,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S1,BLOC1S4,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S1,BLOC1S6,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S3,SNAPIN,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S3,BLOC1S5,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S3,DTNBP1,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S3,BLOC1S4,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S3,BLOC1S6,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S2,SNAPIN,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S2,BLOC1S3,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S2,BLOC1S5,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
