domain,total_domain_protein_count,groups,group_count,average_domain_protein_count_per_group,mean_coverage,std_coverage
1-acyl-sn-glycerol-3-phosphate acyltransferase,2,111; 168,2,1.0,0.19444444444444442,0.19641855032959654
"116kDa U5 small nuclear ribonucleoprotein component, C-terminal",2,73; 97,2,1.0,0.039968652037617555,0.007758224871952717
"116kDa U5 small nuclear ribonucleoprotein component, N-terminal",2,73; 97,2,1.0,0.039968652037617555,0.007758224871952717
14-3-3 domain,7,6; 12; 34; 48; 76; 161; 218,7,1.0,0.08967454447080933,0.0448122809468247
14-3-3 domain superfamily,7,6; 12; 34; 48; 76; 161; 218,7,1.0,0.08967454447080933,0.0448122809468247
14-3-3 protein,7,6; 12; 34; 48; 76; 161; 218,7,1.0,0.08967454447080933,0.0448122809468247
"14-3-3 protein, conserved site",7,6; 12; 34; 48; 76; 161; 218,7,1.0,0.08967454447080933,0.0448122809468247
14-3-3 theta,1,161,1,1.0,0.16666666666666666,0.0
"2-oxo acid dehydrogenase, lipoyl-binding site",4,85; 94; 116; 117,4,1.0,0.1252635046113307,0.07110747125744624
"2-oxoacid dehydrogenase acyltransferase, catalytic domain",4,85; 94; 116; 117,4,1.0,0.1252635046113307,0.07110747125744624
2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3,1,93,1,1.0,0.0625,0.0
2-oxoglutarate dehydrogenase E1 component,1,40,1,1.0,0.16666666666666666,0.0
"2-oxoglutarate dehydrogenase E1 component, N-terminal domain",1,40,1,1.0,0.16666666666666666,0.0
26S Proteasome non-ATPase regulatory subunit 7/8,1,183,1,1.0,0.06666666666666667,0.0
"26S proteasome non-ATPase regulatory subunit 1/RPN2, N-terminal domain",1,141,1,1.0,0.16666666666666666,0.0
"26S proteasome non-ATPase regulatory subunit RPN1, C-terminal",1,156,1,1.0,0.07142857142857142,0.0
"26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit",1,156,1,1.0,0.07142857142857142,0.0
"26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit",1,141,1,1.0,0.16666666666666666,0.0
"26S proteasome regulatory subunit 7-like, OB domain",1,210,1,1.0,0.058823529411764705,0.0
"26S proteasome regulatory subunit RPN2, C-terminal",1,141,1,1.0,0.16666666666666666,0.0
"26S proteasome regulatory subunit RPN7/PSMD6, C-terminal helix",1,65,1,1.0,0.05263157894736842,0.0
"26S proteasome regulatory subunit Rpn6, N-terminal",3,47; 109; 113,3,1.0,0.08318070818070818,0.03906816363182646
"26S proteasome regulatory subunit Rpn7, N-terminal",1,65,1,1.0,0.05263157894736842,0.0
26S proteasome regulatory subunit Rpn7/COP9 signalosome complex subunit 1,1,65,1,1.0,0.05263157894736842,0.0
"26S proteasome regulatory subunit, C-terminal",1,69,1,1.0,0.027777777777777776,0.0
28kDa heat- and acid-stable phosphoprotein,1,149,1,1.0,0.030303030303030304,0.0
"2Fe-2S ferredoxin, iron-sulphur binding site",1,133,1,1.0,0.07692307692307693,0.0
2Fe-2S ferredoxin-like superfamily,2,133; 139,2,1.0,0.06623931623931624,0.015109119256122815
2Fe-2S ferredoxin-type iron-sulfur binding domain,2,133; 139,2,1.0,0.06623931623931624,0.015109119256122815
3'-5' exonuclease domain,1,142,1,1.0,0.1111111111111111,0.0
3-beta hydroxysteroid dehydrogenase/isomerase,1,200,1,1.0,0.1111111111111111,0.0
"3-hydroxyacyl-CoA dehydrogenase, C-terminal",1,75,1,1.0,0.022222222222222223,0.0
"3-hydroxyacyl-CoA dehydrogenase, NAD binding",1,75,1,1.0,0.022222222222222223,0.0
"3-hydroxyacyl-CoA dehydrogenase, conserved site",1,75,1,1.0,0.022222222222222223,0.0
"3-hydroxyisobutyrate dehydrogenase-like, NAD-binding domain",2,148; 157,2,1.0,0.058333333333333334,0.01178511301977579
3-keto-steroid reductase,1,206,1,1.0,0.06666666666666667,0.0
"3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal",1,7,1,1.0,0.07692307692307693,0.0
3-oxo-5-alpha-steroid 4-dehydrogenase/very-long-chain enoyl-CoA reductase,1,7,1,1.0,0.07692307692307693,0.0
"4Fe-4S ferredoxin, iron-sulphur binding, conserved site",4,19; 51; 133; 196,4,1.0,0.14612470862470864,0.12493659224604366
"4Fe-4S ferredoxin-type, iron-sulphur binding domain",4,19; 51; 133; 196,4,1.0,0.14612470862470864,0.12493659224604366
"5'-3' exonuclease, C-terminal domain superfamily",1,75,1,1.0,0.022222222222222223,0.0
5'-3' exoribonuclease,1,1,1,1.0,0.058823529411764705,0.0
5'-3' exoribonuclease type 2,1,1,1,1.0,0.058823529411764705,0.0
"5'-Nucleotidase, C-terminal",2,54; 157,2,1.0,0.05606060606060606,0.014999234752441916
"5'-Nucleotidase, C-terminal domain superfamily",2,54; 157,2,1.0,0.05606060606060606,0.014999234752441916
"5'-Nucleotidase, conserved site",2,54; 157,2,1.0,0.05606060606060606,0.014999234752441916
5'-Nucleotidase/apyrase,2,54; 157,2,1.0,0.05606060606060606,0.014999234752441916
"6-phosphogluconate dehydrogenase, NADP-binding",2,148; 157,2,1.0,0.058333333333333334,0.01178511301977579
"6-phosphogluconate dehydrogenase, domain 2",2,148; 157,2,1.0,0.058333333333333334,0.01178511301977579
"6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily",6,7; 50; 75; 148; 157,5,1.2,0.07104700854700854,0.04943372720319393
"60S ribosome subunit biogenesis protein NIP7, pre-PUA domain",1,234,1,1.0,0.010416666666666666,0.0
"6S proteasome subunit Rpn6, C-terminal helix domain",3,47; 109; 113,3,1.0,0.08318070818070818,0.03906816363182646
A-kinase anchoring protein 95 (AKAP95),1,60,1,1.0,0.08333333333333333,0.0
"AAA ATPase, AAA+ lid domain",13,23; 64; 65; 95; 99; 107; 109; 111; 135; 146; 184; 210,12,1.0833333333333333,0.08759982188483469,0.0823315352046506
"AAA ATPase, CDC48 family",1,111,1,1.0,0.05555555555555555,0.0
AAA+ ATPase domain,54,22; 23; 36; 44; 64; 65; 69; 71; 75; 79; 80; 93; 95; 96; 97; 99; 107; 108; 109; 111; 116; 117; 123; 130; 134; 135; 140; 146; 149; 157; 158; 164; 184; 196; 197; 201; 206; 207; 209; 210,40,1.35,0.11190801837122395,0.10569575308614598
AATF leucine zipper-containing domain,1,200,1,1.0,0.1111111111111111,0.0
ABC transporter Tap-like,3,75; 79; 206,3,1.0,0.04245014245014245,0.022489083614661974
"ABC transporter type 1, transmembrane domain",14,71; 75; 79; 80; 96; 108; 123; 146; 164; 206; 209,11,1.2727272727272727,0.10986865731447776,0.13223312649250688
"ABC transporter type 1, transmembrane domain superfamily",14,71; 75; 79; 80; 96; 108; 123; 146; 164; 206; 209,11,1.2727272727272727,0.10986865731447776,0.13223312649250688
"ABC transporter-like, ATP-binding domain",17,71; 75; 79; 80; 96; 108; 117; 123; 146; 164; 196; 206; 209,13,1.3076923076923077,0.11064255463517192,0.12005673337490658
"ABC transporter-like, conserved site",17,71; 75; 79; 80; 96; 108; 117; 123; 146; 164; 196; 206; 209,13,1.3076923076923077,0.11064255463517192,0.12005673337490658
ABC-transporter extension domain,1,117,1,1.0,0.09090909090909091,0.0
ABC1 atypical kinase-like domain,2,75; 103,2,1.0,0.08253968253968254,0.08530177042885334
"ACAD9/ACADV-like, C-terminal domain",2,13; 79,2,1.0,0.03393665158371041,0.006399156390828484
ACP-like superfamily,1,220,1,1.0,0.04,0.0
"ADAM, cysteine-rich domain",1,148,1,1.0,0.05,0.0
"ADAM10, cysteine-rich domain",1,149,1,1.0,0.030303030303030304,0.0
ADAM10/ADAM17 catalytic domain,1,149,1,1.0,0.030303030303030304,0.0
"ADAR1, first double-stranded RNA binding domain",1,97,1,1.0,0.034482758620689655,0.0
"ADAR1, third double-stranded RNA binding domain",1,97,1,1.0,0.034482758620689655,0.0
ADCK1-like domain,1,103,1,1.0,0.14285714285714285,0.0
ADCK3-like domain,1,75,1,1.0,0.022222222222222223,0.0
ADF-H/Gelsolin-like domain superfamily,8,13; 18; 54; 85; 104; 151; 202; 231,8,1.0,0.06460846048105437,0.043495630112629795
ADF/Cofilin,2,18; 231,2,1.0,0.10964912280701754,0.08063498381951857
ADP-ribosylation factor 1-5,3,31; 122; 196,3,1.0,0.08333333333333333,0.016666666666666673
ADP-ribosylation factor 6,1,22,1,1.0,0.05263157894736842,0.0
ADP-ribosylation factor-like protein 2,1,100,1,1.0,0.1,0.0
ADP-ribosylation factor-like protein 2/3,1,100,1,1.0,0.1,0.0
ADP-ribosylation factor-like protein 8A/8B,3,63; 85; 226,3,1.0,0.06470642883686362,0.05297195279440533
ADP-specific phosphofructokinase/glucokinase,1,151,1,1.0,0.058823529411764705,0.0
"ADP/ATP carrier protein, eukaryotic type",5,96; 98; 201,3,1.6666666666666667,0.07954545454545454,0.047461985174779044
"AGC-kinase, C-terminal",2,186; 195,2,1.0,0.2222222222222222,0.15713484026367722
AH/BAR domain superfamily,3,50; 119; 123,3,1.0,0.06608220211161388,0.00956674103364883
"AIMP2, lysyl-tRNA synthetase binding domain",1,138,1,1.0,0.0625,0.0
"AIMP2, thioredoxin-like domain",1,138,1,1.0,0.0625,0.0
ALG11 mannosyltransferase,2,44; 191,2,1.0,0.19791666666666666,0.1915080865713566
"ALG11 mannosyltransferase, N-terminal",2,44; 191,2,1.0,0.19791666666666666,0.1915080865713566
ALIX V-shaped domain,2,107; 183,2,1.0,0.05185185185185185,0.020951312035156964
"AMP-binding enzyme, C-terminal domain",3,13; 85; 91,3,1.0,0.03711718801232868,0.00712895765020694
"AMP-binding enzyme, C-terminal domain superfamily",4,13; 59; 85; 91,4,1.0,0.06950455767591318,0.06503574565592106
"AMP-binding, conserved site",6,13; 59; 85; 91; 97; 164,6,1.0,0.06134275747998299,0.052364789341032295
AMP-dependent synthetase/ligase domain,6,13; 59; 85; 91; 97; 164,6,1.0,0.06134275747998299,0.052364789341032295
"ANL, N-terminal domain",6,13; 59; 85; 91; 97; 164,6,1.0,0.06134275747998299,0.052364789341032295
ANTH domain superfamily,3,41; 75; 229,3,1.0,0.17407407407407405,0.15568777449617555
AP complex subunit beta,2,1; 234,2,1.0,0.03462009803921569,0.03422882090302528
"AP complex, mu/sigma subunit",5,1; 64; 142; 157; 234,5,1.0,0.0779750233426704,0.05090795603966895
AP endonuclease 1,1,15,1,1.0,0.06666666666666667,0.0
"AP endonuclease 1, binding site",1,15,1,1.0,0.06666666666666667,0.0
"AP endonuclease 1, conserved site",1,15,1,1.0,0.06666666666666667,0.0
AP-1/2/4 complex subunit beta,1,1,1,1.0,0.058823529411764705,0.0
"AP-2 complex subunit mu, C-terminal superfamily",3,1; 64; 234,3,1.0,0.07069911297852474,0.06701411826755872
"AP-2 complex subunit mu, N-terminal",1,1,1,1.0,0.058823529411764705,0.0
AP-2 complex subunit sigma,2,142; 157,2,1.0,0.08888888888888888,0.031426968052735434
AP-3 complex subunit beta,1,234,1,1.0,0.010416666666666666,0.0
"AP-3 complex subunit beta 1, serine-rich domain",1,234,1,1.0,0.010416666666666666,0.0
"AP-3 complex subunit beta, C-terminal domain",1,234,1,1.0,0.010416666666666666,0.0
"AP-3 complex subunit delta domain, metazoa",1,234,1,1.0,0.010416666666666666,0.0
AP180 N-terminal homology (ANTH) domain,3,41; 75; 229,3,1.0,0.17407407407407405,0.15568777449617555
ARFGAP/RecO-like zinc finger,1,165,1,1.0,0.2,0.0
"ARHGEF1-like, PH domain",1,228,1,1.0,0.07692307692307693,0.0
"ARHGEF2, PH domain",1,228,1,1.0,0.07692307692307693,0.0
ARID DNA-binding domain,1,9,1,1.0,0.06666666666666667,0.0
ARID DNA-binding domain superfamily,1,9,1,1.0,0.06666666666666667,0.0
"ARMET, C-terminal",1,180,1,1.0,0.06666666666666667,0.0
"ARMET, N-terminal",1,180,1,1.0,0.06666666666666667,0.0
ARMET-like,1,180,1,1.0,0.06666666666666667,0.0
"AT hook, DNA-binding motif",3,88; 90; 128,3,1.0,0.08485155195681511,0.03682991486119945
"AT-rich interactive domain-containing protein 1A, ARID/BRIGHT DNA binding domain",1,9,1,1.0,0.06666666666666667,0.0
"ATM, catalytic domain",1,166,1,1.0,0.05555555555555555,0.0
"ATP synthase delta/epsilon subunit, C-terminal domain superfamily",1,197,1,1.0,0.038461538461538464,0.0
ATP synthase membrane subunit K,1,98,1,1.0,0.027777777777777776,0.0
"ATP synthase subunit alpha, N-terminal domain-like superfamily",3,46; 98; 206,3,1.0,0.049025341130604284,0.019693657180584342
"ATP synthase, F0 complex, subunit B",1,156,1,1.0,0.07142857142857142,0.0
"ATP synthase, F0 complex, subunit B/MI25",1,156,1,1.0,0.07142857142857142,0.0
"ATP synthase, F0 complex, subunit D superfamily, mitochondrial",3,85; 86; 98,3,1.0,0.19041867954911432,0.2682201926988614
"ATP synthase, F0 complex, subunit D, mitochondrial",3,85; 86; 98,3,1.0,0.19041867954911432,0.2682201926988614
"ATP synthase, F0 complex, subunit E, mitochondrial",1,95,1,1.0,0.03225806451612903,0.0
"ATP synthase, F0 complex, subunit G, mitochondrial",1,98,1,1.0,0.027777777777777776,0.0
"ATP synthase, F1 complex, alpha subunit",1,98,1,1.0,0.027777777777777776,0.0
"ATP synthase, F1 complex, alpha subunit nucleotide-binding domain",1,98,1,1.0,0.027777777777777776,0.0
"ATP synthase, F1 complex, beta subunit",1,197,1,1.0,0.038461538461538464,0.0
"ATP synthase, F1 complex, delta/epsilon subunit",1,197,1,1.0,0.038461538461538464,0.0
"ATP synthase, F1 complex, delta/epsilon subunit, N-terminal",1,197,1,1.0,0.038461538461538464,0.0
"ATP synthase, F1 complex, gamma subunit",3,124; 145; 193,3,1.0,0.05897435897435898,0.01554404570895146
"ATP synthase, F1 complex, gamma subunit conserved site",3,124; 145; 193,3,1.0,0.05897435897435898,0.01554404570895146
"ATP synthase, F1 complex, gamma subunit superfamily",3,124; 145; 193,3,1.0,0.05897435897435898,0.01554404570895146
"ATP synthase, alpha subunit, C-terminal",1,98,1,1.0,0.027777777777777776,0.0
"ATP synthase, alpha subunit, C-terminal domain superfamily",1,98,1,1.0,0.027777777777777776,0.0
"ATP synthase-coupling factor 6 superfamily, mitochondrial",1,51,1,1.0,0.3333333333333333,0.0
"ATP synthase-coupling factor 6, mitochondrial",1,51,1,1.0,0.3333333333333333,0.0
"ATP-NAD kinase, PpnK-type, C-terminal",1,95,1,1.0,0.03225806451612903,0.0
"ATP-binding cassette sub-family C member 4, six-transmembrane helical domain 1",1,96,1,1.0,0.125,0.0
"ATP-binding cassette sub-family C member 4, six-transmembrane helical domain 2",1,96,1,1.0,0.125,0.0
"ATP-citrate lyase/succinyl-CoA ligase, active site",1,107,1,1.0,0.037037037037037035,0.0
"ATP-citrate lyase/succinyl-CoA ligase, conserved site",1,107,1,1.0,0.037037037037037035,0.0
ATP-citrate synthase,1,107,1,1.0,0.037037037037037035,0.0
"ATP-citrate synthase, citrate-binding domain",1,107,1,1.0,0.037037037037037035,0.0
"ATP-citrate synthase/succinyl-CoA ligase, C-terminal domain",1,107,1,1.0,0.037037037037037035,0.0
ATP-dependent 6-phosphofructokinase,2,15; 220,2,1.0,0.05333333333333333,0.018856180831641263
"ATP-dependent 6-phosphofructokinase, eukaryotic-type",2,15; 220,2,1.0,0.05333333333333333,0.018856180831641263
"ATP-dependent 6-phosphofructokinase, vertebrate-type",2,15; 220,2,1.0,0.05333333333333333,0.018856180831641263
ATP-dependent Clp protease proteolytic subunit,1,119,1,1.0,0.07692307692307693,0.0
"ATP-dependent DNA helicase RecQ, zinc-binding domain",3,30; 140; 197,3,1.0,0.1517094017094017,0.10655946700676651
"ATP-dependent RNA helicase DEAD-box, conserved site",18,14; 32; 38; 56; 84; 100; 102; 110; 122; 151; 156; 197; 205; 216; 226; 230; 234,17,1.0588235294117647,0.13663994711959562,0.10972954942832938
ATP-dependent RNA helicase SKI2-like,1,179,1,1.0,0.25,0.0
"ATP-dependent RNA helicase Ski2/MTR4, C-terminal",1,179,1,1.0,0.25,0.0
"ATP-dependent RNA helicase eIF4A, DEAD-box helicase domain",1,110,1,1.0,0.125,0.0
"ATP-dependent zinc metalloprotease, FtsH",3,23; 107; 109,3,1.0,0.06179622846289513,0.02161736727041481
ATP-grasp fold,2,54; 100,2,1.0,0.07272727272727272,0.038569460791993505
"ATP-grasp fold, subdomain 1",1,54,1,1.0,0.045454545454545456,0.0
ATPase family AAA domain-containing protein 3,2,158; 201,2,1.0,0.09848484848484848,0.09642365197998375
"ATPase family AAA domain-containing protein 3, N-terminal",2,158; 201,2,1.0,0.09848484848484848,0.09642365197998375
"ATPase, AAA-type, conserved site",14,23; 44; 64; 65; 95; 99; 109; 111; 135; 146; 184; 210,12,1.1666666666666667,0.09240990750809236,0.0808536127056224
"ATPase, AAA-type, core",23,22; 23; 44; 64; 65; 75; 95; 97; 99; 107; 109; 111; 135; 146; 158; 184; 201; 210,18,1.2777777777777777,0.08769032114699749,0.071843062857097
"ATPase, F1/V1 complex, beta/alpha subunit, C-terminal",3,46; 197; 206,3,1.0,0.052586594691857856,0.014102617911379522
"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain",5,46; 98; 108; 197; 206,5,1.0,0.0504408457040036,0.01723711325749239
"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain superfamily",4,46; 98; 197; 206,4,1.0,0.04638439046333783,0.016925087015197134
"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain",5,46; 98; 108; 197; 206,5,1.0,0.0504408457040036,0.01723711325749239
"ATPase, OSCP/delta subunit",2,75; 98,2,1.0,0.025,0.0039283710065919275
"ATPase, OSCP/delta subunit, conserved site",2,75; 98,2,1.0,0.025,0.0039283710065919275
"ATPase, V0 complex, c/d subunit",2,75; 129,2,1.0,0.05656565656565657,0.04856895062695478
"ATPase, V0 complex, subunit 116kDa, eukaryotic",1,111,1,1.0,0.05555555555555555,0.0
"ATPase, V0 complex, subunit d",2,75; 129,2,1.0,0.05656565656565657,0.04856895062695478
"ATPase, V1 complex, subunit A",2,46; 206,2,1.0,0.05964912280701754,0.009924305700863827
"ATPase, V1 complex, subunit B",1,108,1,1.0,0.06666666666666667,0.0
"ATPase, V1 complex, subunit D",1,118,1,1.0,0.1,0.0
"ATPase, V1 complex, subunit H",1,75,1,1.0,0.022222222222222223,0.0
"ATPase, V1 complex, subunit H, C-terminal",1,75,1,1.0,0.022222222222222223,0.0
"ATPase, V1 complex, subunit H, C-terminal domain superfamily",1,75,1,1.0,0.022222222222222223,0.0
"ATPase, alpha/beta subunit, nucleotide-binding domain, active site",5,46; 98; 108; 197; 206,5,1.0,0.0504408457040036,0.01723711325749239
"ATPase, dynein-related, AAA domain",2,22; 36,2,1.0,0.2763157894736842,0.31633724421503445
"ATPase, nucleotide binding domain",17,13; 18; 46; 59; 60; 69; 103; 110; 118; 137; 138; 144; 158; 189; 197; 199; 202,17,1.0,0.10611272407254765,0.11092298869542173
"ATPsynthase alpha/beta subunit, N-terminal extension",2,46; 206,2,1.0,0.05964912280701754,0.009924305700863827
"AUP1, CUE domain",1,213,1,1.0,0.07692307692307693,0.0
AWS domain,2,18; 226,2,1.0,0.039136302294197026,0.019085203270891967
Abscisic acid G-protein coupled receptor-like domain,1,106,1,1.0,0.2,0.0
Acetyl-coA carboxylase zinc finger domain,1,43,1,1.0,0.125,0.0
Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,1,216,1,1.0,0.06666666666666667,0.0
"Acetyl-coenzyme A carboxyltransferase, C-terminal",1,216,1,1.0,0.06666666666666667,0.0
"Acetyl-coenzyme A carboxyltransferase, N-terminal",1,216,1,1.0,0.06666666666666667,0.0
Acetyl-coenzyme A transporter 1-like,1,69,1,1.0,0.027777777777777776,0.0
Acetylglutamate kinase-like superfamily,1,226,1,1.0,0.02564102564102564,0.0
Acidic leucine-rich nuclear phosphoprotein 32,1,14,1,1.0,0.14285714285714285,0.0
"Acin1, RNSP1-SAP18 binding (RSB) motif",1,109,1,1.0,0.07692307692307693,0.0
"Acinus, RNA recognition motif",1,109,1,1.0,0.07692307692307693,0.0
"Aconitase A/isopropylmalate dehydratase small subunit, swivel domain",1,207,1,1.0,0.09090909090909091,0.0
"Aconitase family, 4Fe-4S cluster binding site",1,207,1,1.0,0.09090909090909091,0.0
"Aconitase, domain 2",1,207,1,1.0,0.09090909090909091,0.0
"Aconitase, iron-sulfur domain",1,207,1,1.0,0.09090909090909091,0.0
"Aconitase, mitochondrial-like",1,207,1,1.0,0.09090909090909091,0.0
"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain",1,207,1,1.0,0.09090909090909091,0.0
"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3",1,207,1,1.0,0.09090909090909091,0.0
"Aconitase/3-isopropylmalate dehydratase, swivel",1,207,1,1.0,0.09090909090909091,0.0
Actin family,7,18; 59; 103; 118; 138; 158; 202,7,1.0,0.10497147371534425,0.05384753017207976
"Actin, conserved site",7,18; 59; 103; 118; 138; 158; 202,7,1.0,0.10497147371534425,0.05384753017207976
Actin-crosslinking,1,200,1,1.0,0.1111111111111111,0.0
Actin-depolymerising factor homology domain,3,18; 202; 231,3,1.0,0.08759216882786676,0.06863328612489814
Actin-filament associated protein,1,205,1,1.0,0.05263157894736842,0.0
Actin-related protein 2/3 complex subunit 3,1,60,1,1.0,0.08333333333333333,0.0
Actin-related protein 2/3 complex subunit 3 superfamily,1,60,1,1.0,0.08333333333333333,0.0
Actin-related protein 2/3 complex subunit 4,1,63,1,1.0,0.125,0.0
Actin/actin-like conserved site,6,59; 103; 118; 138; 158; 202,6,1.0,0.11369478951000689,0.05329408413464855
"Actinin-type actin-binding domain, conserved site",17,12; 13; 31; 50; 57; 91; 95; 99; 135; 153; 155; 200; 202; 203; 220; 223,16,1.0625,0.10041664790632233,0.11455757316613085
Active regulator of SIRT1,1,107,1,1.0,0.037037037037037035,0.0
Acyl transferase,1,220,1,1.0,0.04,0.0
Acyl transferase domain superfamily,1,220,1,1.0,0.04,0.0
Acyl transferase/acyl hydrolase/lysophospholipase,3,136; 143; 220,3,1.0,0.06649425287356323,0.050742505094115306
Acyl-CoA N-acyltransferase,2,65; 183,2,1.0,0.05964912280701754,0.009924305700863827
Acyl-CoA binding protein superfamily,5,43; 57; 85; 86; 98,5,1.0,0.15591787439613528,0.19600987906857717
"Acyl-CoA dehydrogenase family member 10/11, N-terminal",1,166,1,1.0,0.05555555555555555,0.0
"Acyl-CoA dehydrogenase, conserved site",5,13; 68; 79; 114; 135,5,1.0,0.05657832363714717,0.02122765495808678
"Acyl-CoA dehydrogenase-like, C-terminal",6,13; 68; 79; 114; 135; 166,6,1.0,0.05640786229021524,0.018991182439238904
"Acyl-CoA dehydrogenase/oxidase, C-terminal",6,13; 68; 79; 114; 135; 166,6,1.0,0.05640786229021524,0.018991182439238904
"Acyl-CoA dehydrogenase/oxidase, N-terminal",6,13; 68; 79; 114; 135; 166,6,1.0,0.05640786229021524,0.018991182439238904
"Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily",6,13; 68; 79; 114; 135; 166,6,1.0,0.05640786229021524,0.018991182439238904
"Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily",6,13; 68; 79; 114; 135; 166,6,1.0,0.05640786229021524,0.018991182439238904
Acyl-CoA desaturase,2,64; 145,2,1.0,0.09642857142857142,0.06565991539589369
"Acyl-CoA oxidase/dehydrogenase, middle domain",6,13; 68; 79; 114; 135; 166,6,1.0,0.05640786229021524,0.018991182439238904
"Acyl-CoA oxidase/dehydrogenase, middle domain superfamily",6,13; 68; 79; 114; 135; 166,6,1.0,0.05640786229021524,0.018991182439238904
Acyl-CoA thioesterase,1,10,1,1.0,0.06666666666666667,0.0
Acyl-CoA thioesterase II domain,1,10,1,1.0,0.06666666666666667,0.0
"Acyl-CoA thioesterase, double hotdog domain",1,10,1,1.0,0.06666666666666667,0.0
"Acyl-CoA thioesterase-like, N-terminal HotDog domain",1,10,1,1.0,0.06666666666666667,0.0
Acyl-CoA-binding domain-containing protein 5,3,85; 86; 98,3,1.0,0.19041867954911432,0.2682201926988614
"Acyl-CoA-binding protein, ACBP",5,43; 57; 85; 86; 98,5,1.0,0.15591787439613528,0.19600987906857717
"Acyl-CoA-binding protein, ACBP, conserved site",5,43; 57; 85; 86; 98,5,1.0,0.15591787439613528,0.19600987906857717
"Acylglycerol kinase, C-terminal",1,79,1,1.0,0.038461538461538464,0.0
Acylneuraminate cytidylyltransferase,1,234,1,1.0,0.010416666666666666,0.0
Acyltransferase ChoActase/COT/CPT,1,57,1,1.0,0.08333333333333333,0.0
"Acyltransferase, C-terminal domain",5,98; 123; 133; 143; 146,5,1.0,0.06484773396538103,0.038805088312937254
"Adaptor protein complex AP-2, alpha subunit",2,124; 128,2,1.0,0.10096153846153846,0.03399551832627632
"Adaptor protein complex AP-3, delta subunit",1,234,1,1.0,0.010416666666666666,0.0
"Adaptor protein complex, sigma subunit",2,142; 157,2,1.0,0.08888888888888888,0.031426968052735434
Adenosine deaminase/editase,1,97,1,1.0,0.034482758620689655,0.0
Adenylate kinase 2,1,85,1,1.0,0.043478260869565216,0.0
"Adenylate kinase 3/4, mitochondrial",2,20; 47,2,1.0,0.09523809523809523,0.06734350297014738
Adenylate kinase subfamily,3,20; 47; 85,3,1.0,0.07798481711525189,0.056219218369679226
"Adenylate kinase, active site lid domain",3,20; 47; 85,3,1.0,0.07798481711525189,0.056219218369679226
"Adenylate kinase, active site lid domain superfamily",2,20; 47,2,1.0,0.09523809523809523,0.06734350297014738
"Adenylate kinase, conserved site",3,20; 47; 85,3,1.0,0.07798481711525189,0.056219218369679226
Adenylate kinase/UMP-CMP kinase,3,20; 47; 85,3,1.0,0.07798481711525189,0.056219218369679226
"Adhesion G protein-coupled receptor B, N-terminal domain",1,56,1,1.0,0.14285714285714285,0.0
AdoMet-dependent rRNA methyltransferase SPB1-like,1,34,1,1.0,0.08333333333333333,0.0
Afadin,1,13,1,1.0,0.029411764705882353,0.0
"Afadin, cargo binding domain",1,13,1,1.0,0.029411764705882353,0.0
Agenet-like domain,4,50; 54; 59; 74,4,1.0,0.19365530303030304,0.21114026768416544
"Aggrecan/versican, C-type lectin-like domain",1,10,1,1.0,0.06666666666666667,0.0
Aladin,1,136,1,1.0,0.034482758620689655,0.0
"Alanine dehydrogenase/NAD(P) transhydrogenase, conserved site-1",1,69,1,1.0,0.027777777777777776,0.0
"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal",4,69; 125; 126; 146,4,1.0,0.15753968253968254,0.22892251475698194
